Марка;Описание;Цена;Город;Ссылка;Тип топлива
Mercedes-Benz G-Class 2020;Brabus G800 G-Ttonic (800 л.с.) 4Matic;346 347 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-g-class-1817169.html;Бензин
Mercedes-Benz A-Class 2019;base 160d MT (95 л.с.);32 180 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-a-class-1830535.html;Дизтопливо
Mercedes-Benz C-Class 2019;base 300d G-Tronic (245 л.с.) 4Matic;45 250 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1787015.html;Дизтопливо
Mercedes-Benz GLC-Class 2019;base 220d AT (194 л.с.);46 916 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-glc-class-1761010.html;Дизтопливо
Mercedes-Benz A-Class 2019;250e AT (160 л.с.);40 856 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-a-class-1826318.html;Бензин/Электричество
Mercedes-Benz C-Class 2019;base C 200 АТ (184 л.с.);42 927 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1669824.html;Бензин
Mercedes-Benz G-Class 2020;400d AT (340 л.с.) 4Matic;126 538 $;Одесса;https://auto.ria.com/newauto/auto-mercedes-benz-g-class-1798803.html;Дизтопливо
Mercedes-Benz GLE-Class 2019;Individual 300d AT (245 л.с.) 4Matic;68 221 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1836711.html;Дизтопливо
Mercedes-Benz AMG GT 2019;GT C AT (476 л.с.);176 554 $;Житомир;https://auto.ria.com/newauto/auto-mercedes-benz-amg-gt-1804008.html;Бензин
Mercedes-Benz E-Class 2019;New Mercedes-AMG E 63S (612 л.с.) 4Matic+;107 866 $;Житомир;https://auto.ria.com/newauto/auto-mercedes-benz-e-class-1803972.html;Бензин
Mercedes-Benz SL-Class 2019;Mercedes-AMG SL 65 AT (629 л.с.);297 789 $;Житомир;https://auto.ria.com/newauto/auto-mercedes-benz-sl-class-1804004.html;Бензин
Mercedes-Benz AMG GT 2019;GT S AT (510 л.с.);163 087 $;Житомир;https://auto.ria.com/newauto/auto-mercedes-benz-amg-gt-1804007.html;Бензин
Mercedes-Benz CLS-Class 2019;AMG CLS 53 G-Tronic (435 л.с.) 4Matic+;94 410 $;Житомир;https://auto.ria.com/newauto/auto-mercedes-benz-cls-class-1803977.html;Бензин
Mercedes-Benz E-Class 2019;AMG E 53 G-tronic (435 л.с.) 4Matic+;72 734 $;Житомир;https://auto.ria.com/newauto/auto-mercedes-benz-e-class-1803970.html;Бензин
Mercedes-Benz S-Class 2019;Mercedes-AMG S65 G-Tronic (629 л.с.);281 133 $;Житомир;https://auto.ria.com/newauto/auto-mercedes-benz-s-class-1803980.html;Бензин
Mercedes-Benz GLC-Class 2019;base Mercedes-AMG 63S AT (510 л.с.) 4Matic+;87 005 $;Житомир;https://auto.ria.com/newauto/auto-mercedes-benz-glc-class-1803997.html;Бензин
Mercedes-Benz S-Class 2019;Mercedes-AMG S65 G-Tronic (629 л.с.);289 718 $;Житомир;https://auto.ria.com/newauto/auto-mercedes-benz-s-class-1804002.html;Бензин
Mercedes-Benz S-Class 2019;AMG S 63 AT (612 л.с.) 4Matic+;199 486 $;Житомир;https://auto.ria.com/newauto/auto-mercedes-benz-s-class-1803979.html;Бензин
Mercedes-Benz E-Class 2019;Mercedes-AMG E 63S (612 л.с.) 4Matic+;126 785 $;Житомир;https://auto.ria.com/newauto/auto-mercedes-benz-e-class-1803990.html;Бензин
Mercedes-Benz AMG GT 2019;GT R AT (585 л.с.);194 475 $;Житомир;https://auto.ria.com/newauto/auto-mercedes-benz-amg-gt-1804009.html;Бензин
