Марка;Описание;Цена;Город;Ссылка;Тип топлива
Mercedes-Benz AMG GT 2019;GT AT (462 л.с.);139 889 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-amg-gt-1670142.html;Бензин
Mercedes-Benz C-Class 2019;base Mercedes-AMG C43 TCT (390 л.с.) 4Matic;57 807 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1669867.html;Бензин
Mercedes-Benz C-Class 2019;base 300d G-Tronic (245 л.с.);43 193 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1787014.html;Дизтопливо
Mercedes-Benz GLC-Class 2019;300de AT (306 л.с.) 4Matic;57 411 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-glc-class-1838077.html;Дизтопливо/Электричество
Mercedes-Benz CLA-Class 2019;base 200d АТ (150 л.с.) 4Matic;41 689 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-cla-class-1826329.html;Дизтопливо
Mercedes-Benz C-Class 2019;base 180 G-Tronic (156 л.с.);40 822 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1611674.html;Бензин
Mercedes-Benz C-Class 2019;base C 200 АТ (184 л.с.);42 929 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1669824.html;Бензин
Mercedes-Benz GLE-Class 2019;300d AT (245 л.с.) 4Matic;69 060 $;Ужгород;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1822792.html;Дизтопливо
Mercedes-Benz A-Class 2019;220d AT (190 л.с.);40 419 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-a-class-1830543.html;Дизтопливо
Mercedes-Benz A-Class 2019;base 160d MT (95 л.с.);32 202 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-a-class-1830535.html;Дизтопливо
Mercedes-Benz C-Class 2019;300e G-Tronic (211 л.с.) 4Matic;45 429 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1821760.html;Бензин
Mercedes-Benz S-Class 2019;S 560 G-Tronic (469 л.с.);159 166 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-s-class-1611192.html;Бензин
Mercedes-Benz B-Class 2019;180 AT (136 л.с.);31 796 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-b-class-1669747.html;Бензин
Mercedes-Benz E-Class 2019;New E 200 АТ (184 л.с.) 4Matic;53 849 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-e-class-1670043.html;Бензин
Mercedes-Benz GLC-Class 2019;base Mercedes-AMG 63 AT (476 л.с.) 4Matic+;89 116 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-glc-class-1830589.html;Бензин
Mercedes-Benz C-Class 2019;base 180 G-Tronic (156 л.с.);34 580 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1669876.html;Бензин
Mercedes-Benz C-Class 2019;base 220d G-Tronic (194 л.с.);45 154 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1669828.html;Дизтопливо
Mercedes-Benz S-Class 2019;S 560 AT (469 л.с.) 4Matic Long;114 188 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-s-class-1693536.html;Бензин
Mercedes-Benz C-Class 2019;base C 200 MT (184 л.с.);37 657 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1661883.html;Бензин
Mercedes-Benz Maybach 2020;S 560 AT (469 л.с.) 4Matic;249 128 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-maybach-1833687.html;Бензин
Mercedes-Benz GLC-Class 2019;base 200d AT (163 л.с.) 4Matic;53 718 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-glc-class-1830581.html;Дизтопливо
Mercedes-Benz CLA-Class 2019;base 220 AT (190 л.с.);38 858 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-cla-class-1669945.html;Бензин
Mercedes-Benz GLC-Class 2019;base 200d AT (163 л.с.);51 575 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-glc-class-1826349.html;Дизтопливо
Mercedes-Benz A-Class 2019;250e AT (160 л.с.);40 884 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-a-class-1830538.html;Бензин/Электричество
Mercedes-Benz Maybach 2018;G 650 Landaulet AT (630 л.с.);1 204 325 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-maybach-1835148.html;Бензин
Mercedes-Benz A-Class 2019;base 180d AT (116 л.с.);33 887 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-a-class-1830536.html;Дизтопливо
Mercedes-Benz A-Class 2019;220 AT (190 л.с.) 4Matic;41 232 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-a-class-1785498.html;Бензин
Mercedes-Benz C-Class 2019;base 300 G-Tronic (258 л.с.) 4Matic;49 665 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1785516.html;Бензин
Mercedes-Benz C-Class 2019;base 180 G-Tronic (156 л.с.);40 822 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1669822.html;Бензин
